id,learner_id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
34003,8853543d-b930-43e0-a3cb-99de6b9ea4f3,2018-01-30 20:04:59 UTC,I prefer not to say,,,,
38604,b170480c-7ed6-434f-8827-73cfa130ece1,2018-02-05 03:01:39 UTC,The course required more time than I realised,,,,
39016,92b8485e-b2a6-4345-8721-3e93142b469d,2018-02-05 10:30:03 UTC,Other,,,,
39241,f4cae359-0966-4a6d-830f-4218861f2fd9,2018-02-05 13:27:14 UTC,Other,,,,
39604,3429e915-a619-4853-9d7b-4ba7a0e218a0,2018-02-05 17:32:53 UTC,I prefer not to say,,,,
39657,a04b5f29-c283-419f-b262-5797c9220aa9,2018-02-05 18:12:27 UTC,Other,2018-02-05 18:12:15 UTC,1.2,1,2
39986,7a397770-4c11-4606-bb9c-49651a961577,2018-02-05 23:02:17 UTC,Other,,,,
40050,1db6b8bc-6216-4bc6-8d94-e3b54681e94a,2018-02-06 00:48:52 UTC,Other,,,,
40617,e4a60824-c65e-4442-811e-4678f368772d,2018-02-06 14:02:14 UTC,The course was too hard,,,,
40786,f0a37bd6-3231-44b0-97e0-4bd6ff71de1b,2018-02-06 16:33:52 UTC,Other,,,,
41102,3ae76b85-153a-4fe6-8a24-46d795e2608c,2018-02-06 20:00:27 UTC,The course wasn’t what I expected,2018-02-06 19:04:22 UTC,1.1,1,1
41347,a1d58afb-bfbd-42d4-bc9b-dde8b6d41f67,2018-02-06 22:15:58 UTC,The course won’t help me reach my goals,,,,
41471,7e972bbd-69c7-4395-84f8-e2fb19454d1a,2018-02-07 01:52:15 UTC,I prefer not to say,,,,
41893,f6ec6af3-d021-4422-a7c7-82012145f590,2018-02-07 12:49:19 UTC,The course was too easy,2018-02-06 11:17:02 UTC,1.2,1,2
42361,c34d4236-e595-4a44-8e49-245ea4e64e51,2018-02-07 18:28:24 UTC,Other,,,,
43060,05d85e9d-3d23-448b-abd1-a945f9a1645e,2018-02-08 13:44:32 UTC,The course required more time than I realised,,,,
43628,36910dcc-a5dd-4a93-88cb-178ed63f89bc,2018-02-09 08:06:00 UTC,The course required more time than I realised,,,,
43958,adccb0bb-70c2-4a04-93c4-58e7a945bf28,2018-02-09 12:42:34 UTC,The course won’t help me reach my goals,,,,
44237,5086b814-3121-43e7-999b-926113ae98d2,2018-02-09 18:31:44 UTC,I prefer not to say,2018-02-09 18:24:29 UTC,1.3,1,3
45136,ea9b9a0b-6af5-469d-850f-c25fcbf59727,2018-02-11 04:46:32 UTC,The course won’t help me reach my goals,,,,
45582,74082dd9-2f29-4d39-a050-f76849f92747,2018-02-11 17:42:39 UTC,The course was too easy,,,,
46764,7b30f56d-593b-43e6-bac2-9397dedfecce,2018-02-12 17:32:30 UTC,Other,2018-02-13 15:09:46 UTC,3.20,3,20
46828,c32fad63-a3d7-4944-80b6-2efd032028a4,2018-02-12 19:09:26 UTC,The course wasn’t what I expected,,,,
46902,08f3cb8f-01d4-41dc-9aa4-376a051cbc37,2018-02-12 20:10:36 UTC,Other,2018-02-07 21:13:01 UTC,1.8,1,8
47778,3603bbf1-674a-4a4f-a3ba-3ecb9a8826ff,2018-02-13 18:24:30 UTC,Other,,,,
48327,fa001738-ecab-459b-9c05-e41eb186edec,2018-02-14 01:14:30 UTC,The course was too hard,,,,
48595,f9da37fe-f254-4ab7-a2b1-373c860b2e4e,2018-02-14 08:52:07 UTC,The course was too hard,2018-02-22 13:04:30 UTC,1.19,1,19
48826,6ccdcbce-51c2-449f-a501-320ae2ccde09,2018-02-14 11:14:02 UTC,The course won’t help me reach my goals,2018-02-14 11:12:40 UTC,1.19,1,19
48919,d7782f9f-61d1-48f5-af83-a09d884d75b3,2018-02-14 12:35:58 UTC,I prefer not to say,,,,
48944,ce811939-1e08-47ab-a485-57a389e07f33,2018-02-14 13:00:22 UTC,The course won’t help me reach my goals,,,,
49141,f91a68c7-aa83-4835-a712-a2b314b4f113,2018-02-14 16:09:31 UTC,Other,,,,
49503,788b4a9d-de2d-4a32-8139-12e0eea06672,2018-02-15 00:20:19 UTC,The course was too hard,2018-03-02 12:05:40 UTC,3.20,3,20
49965,10af87d7-0ad8-4dd1-8703-132e9a083b78,2018-02-15 14:00:46 UTC,Other,,,,
50003,46003b87-bb55-491e-8d23-5931aabbebb0,2018-02-15 14:56:43 UTC,The course was too easy,2018-02-15 14:55:42 UTC,1.5,1,5
50367,68fce601-5e93-4145-93a9-5653ec635a1e,2018-02-15 20:59:45 UTC,The course won’t help me reach my goals,,,,
50944,b5416211-31f4-42f0-ba92-46bcf9a964b0,2018-02-16 15:08:03 UTC,The course wasn’t what I expected,,,,
51772,6414711b-ba6b-4047-b853-cbf993fcabe3,2018-02-17 16:08:38 UTC,Other,2018-02-17 16:07:30 UTC,3.20,3,20
53240,afabdbcc-e47b-4f36-9a2f-c2ca9da95507,2018-02-19 09:09:24 UTC,The course was too easy,,,,
53362,a5e37152-ded1-464c-8ffb-923a6cf635f2,2018-02-19 10:52:31 UTC,Other,2018-02-19 10:51:38 UTC,3.20,3,20
54781,bb41f50b-1907-4e43-bf48-1bb58274a2b5,2018-02-20 10:18:58 UTC,The course required more time than I realised,2018-02-16 14:30:02 UTC,2.23,2,23
54955,54b56210-4268-488d-b69c-49f86f6b003f,2018-02-20 13:05:40 UTC,I don’t have enough time,,,,
55072,1c092421-43b6-4040-86b4-9960fcb3d19e,2018-02-20 15:18:24 UTC,I prefer not to say,2018-02-12 11:21:26 UTC,1.5,1,5
