id,learner_id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
110338,9f172f7a-74fa-4e6a-991a-cad1aedbce41,2018-04-20 12:12:05 UTC,Other,,,,
120486,353eaf1b-cff8-4d9c-98d4-b9a736c17e73,2018-05-09 03:54:35 UTC,The course required more time than I realised,2018-07-15 16:53:37 UTC,3.20,3,20
125315,8c4eee40-70ae-45ef-ab61-cdf2832328b1,2018-05-18 09:10:38 UTC,I don’t have enough time,,,,
126064,c1c34f22-2e36-4fb5-9295-3a92f5f94350,2018-05-20 12:15:19 UTC,I prefer not to say,,,,
126988,798f378b-858d-44ac-a254-0846625dc7e9,2018-05-21 17:54:05 UTC,Other,,,,
134123,f83e6689-b66d-4b9d-bff6-c0555a225f49,2018-06-03 09:03:08 UTC,Other,,,,
135619,92ee0df3-ade8-4af0-835d-073d869dc74d,2018-06-05 08:54:07 UTC,I prefer not to say,,,,
140288,0636f5ca-0553-4e18-ad69-97d04bc1cb1b,2018-06-13 04:17:01 UTC,I prefer not to say,,,,
140407,e73f3a58-d374-415c-943c-93d06ac46f98,2018-06-13 09:37:30 UTC,I don’t have enough time,,,,
140772,28904547-1869-40db-b4b0-9b7a5deb6c8c,2018-06-13 19:48:58 UTC,Other,,,,
141951,2ea03bab-6bac-4528-97a5-3aa1e52642e8,2018-06-16 07:48:35 UTC,The course required more time than I realised,2018-06-14 13:23:55 UTC,1.7,1,7
142496,93941798-99ad-4224-95de-f0c3e671b0f9,2018-06-17 16:35:13 UTC,I prefer not to say,,,,
142888,ff2189d6-ae99-4c05-af10-73505cc6ff30,2018-06-18 07:58:59 UTC,I don’t have enough time,,,,
143007,728b414e-0840-4aad-8853-ea0783c41ad5,2018-06-18 10:19:50 UTC,Other,2018-06-18 09:58:57 UTC,1.3,1,3
144076,75073913-884b-41a2-aae1-b1457ac95b90,2018-06-19 15:21:17 UTC,I don’t have enough time,2018-06-12 19:47:47 UTC,1.3,1,3
144912,f62ff33a-b5bf-4e25-bc20-b60bef1b3b01,2018-06-21 08:22:56 UTC,Other,,,,
146256,86f205ff-90cc-4c22-9d2a-5285e2621141,2018-06-24 02:42:21 UTC,I don’t have enough time,2018-06-22 10:10:55 UTC,1.6,1,6
