learner_id,step,week_number,step_number,first_visited_at,last_completed_at
77454a73-6b8b-46a2-8dee-35f36b6c4fc1,1.1,1,1,2018-08-10 08:39:26 UTC,
20e6ec35-0f50-4819-9c2e-d1851fd54638,1.1,1,1,2018-09-05 13:57:38 UTC,
62449cd5-916b-46a6-9710-441b68d2199f,1.1,1,1,2018-09-10 00:04:36 UTC,2018-09-10 00:53:16 UTC
6662447b-e783-45aa-bc46-020329c5a4e1,1.1,1,1,2018-09-10 00:19:50 UTC,
f9eaed45-c065-489b-950a-d67321251840,1.1,1,1,2018-09-10 00:25:30 UTC,
421d4dd6-ee23-4af0-b3a7-906a0d0ef28b,1.1,1,1,2018-09-10 00:43:11 UTC,2018-09-10 00:48:37 UTC
829400b4-ea87-4e1b-88ea-76d975d830e1,1.1,1,1,2018-09-10 01:17:15 UTC,2018-09-10 01:26:30 UTC
8bd323b8-b922-4b8c-9b34-540ac82d61e0,1.1,1,1,2018-09-10 01:35:15 UTC,
349056c8-5a59-4566-88b0-0b953e11c7a6,1.1,1,1,2018-09-10 02:00:35 UTC,2018-09-10 02:01:59 UTC
7b30d9cd-407f-4b3b-ae6f-37aa06b8abf7,1.1,1,1,2018-09-10 02:07:14 UTC,2018-09-10 02:14:09 UTC
e693a7ed-53d0-4da4-9967-b66d50d5c13f,1.1,1,1,2018-09-10 03:04:51 UTC,2018-09-10 06:08:10 UTC
20a35fab-225c-4ac4-99c4-ce0212fad6d0,1.1,1,1,2018-09-10 03:10:20 UTC,
2c5d4f40-da84-446a-a844-dd87e6ac68ea,1.1,1,1,2018-09-10 03:11:06 UTC,2018-09-12 12:32:07 UTC
8769d596-9614-46a1-bf3a-c068ceac5145,1.1,1,1,2018-09-10 03:29:25 UTC,2018-09-11 03:47:40 UTC
5022023b-47a7-4c38-ac6c-839b6b2cf06a,1.1,1,1,2018-09-10 03:31:27 UTC,2018-09-10 03:34:45 UTC
5829fe46-257e-44b1-8aab-23355c606241,1.1,1,1,2018-09-10 03:36:18 UTC,2018-09-10 03:41:57 UTC
02308b4a-7807-4848-8d20-5dc896d6da9c,1.1,1,1,2018-09-10 03:50:03 UTC,
0403150a-619a-4c0e-9aac-6c4103c5e321,1.1,1,1,2018-09-10 04:06:23 UTC,2018-09-10 04:07:09 UTC
dd5ab19e-bc9f-4a3d-897c-bbdbfccf5e5a,1.1,1,1,2018-09-10 04:28:14 UTC,
a98b7332-1a57-4004-ac6c-4383f2ac34e1,1.1,1,1,2018-09-10 04:29:45 UTC,2018-09-10 04:30:36 UTC
2553cea6-a651-48e3-9c29-c91c68bd062d,1.1,1,1,2018-09-10 04:39:03 UTC,2018-09-10 05:03:30 UTC
0636f5ca-0553-4e18-ad69-97d04bc1cb1b,1.1,1,1,2018-09-10 04:54:12 UTC,2018-09-10 04:54:22 UTC
538e99b0-815e-4d64-9864-a1ec445d18d7,1.1,1,1,2018-09-10 04:57:13 UTC,2018-09-10 04:58:23 UTC
1bf6b794-3bae-4c51-ad82-4f7128406005,1.1,1,1,2018-09-10 05:03:54 UTC,
e5e1969d-a65c-402b-8714-0d7814e5581e,1.1,1,1,2018-09-10 05:38:24 UTC,
